,treatment,d34S_corrected,replicate,time_h,ID,f_R,avg_conc,minus_ln_f_R,d34S_sulfide
26,lower,-6.284718127302077,2.0,54,lower_54_2.0,0.8559257859188796,9.239343270163436,0.15557160529184155,-6.304550104192363
27,lower,-9.86260579131754,2.0,71,lower_71_2.0,0.6498577255309896,7.014928983010591,0.4310018238494865,-9.911563453864186
28,lower,-15.689475320624462,2.0,83,lower_83_2.0,0.57439353172684,6.200326125340919,0.5544405222327667,-15.813857851687374
29,lower,-30.998839362044183,2.0,91,lower_91_2.0,0.21231595347451157,2.2918575513846924,1.5496797671965135,-31.48946932329988
30,lower,-2.9442577881917,3.0,0,lower_0_3.0,1.0,11.004337069784242,0.0,-2.9486006415680945
31,lower,-4.509858196648407,3.0,33,lower_33_3.0,0.8662153935274194,9.532126165411526,0.14362167902793346,-4.520058285982899
32,lower,-6.401201518932995,3.0,54,lower_54_3.0,0.7742599578131338,8.520217555412652,0.2558475989740306,-6.421777061839248
33,lower,-9.594723718437487,3.0,71,lower_71_3.0,0.645038179899391,7.098217554493026,0.43844577029577236,-9.641049641155103
34,lower,-14.86506590135375,3.0,83,lower_83_3.0,0.5804272909425198,6.387217554033214,0.5439907381566025,-14.976658259539368
35,lower,-30.247169486307165,3.0,91,lower_91_3.0,0.264756947753234,2.9134746946438423,1.3289430521509642,-30.714053858696722
36,medium,-2.4449099446271787,1.0,0,medium_0_1.0,1.0,9.490548964004336,0.0,-2.447903617448302
37,medium,-4.950665245872426,1.0,33,medium_33_1.0,0.9432473561281793,8.951935218502122,0.058426723080230836,-4.962960385259182
38,medium,-10.212584829848863,1.0,54,medium_54_1.0,0.7498512929693637,7.116500411647707,0.2878803681519222,-10.265091063113319
39,medium,-14.70557091371441,1.0,71,medium_71_1.0,0.48357616451513025,4.58940326715626,0.7265464490592952,-14.814769697617132
40,medium,-22.394505772131424,1.0,83,medium_83_1.0,0.2718831564433961,2.5803204087141016,1.302382876877859,-22.64907046207548
41,medium,-32.83847133032232,1.0,91,medium_91_1.0,0.11990940949604412,1.1380061220670532,2.1210187421626396,-33.389756455189506
42,medium,-2.561840793021396,2.0,0,medium_0_2.0,1.0,10.86448648323279,0.0,-2.5651279224140295
43,medium,-4.7632440649771794,2.0,33,medium_33_2.0,0.7982184946139071,8.67223404539922,0.22537291623514744,-4.774624464784247
44,medium,-8.533760345821506,2.0,54,medium_54_2.0,0.6223028048175202,6.761000411417801,0.47432848023807633,-8.570381370849745
45,medium,-13.46213907672418,2.0,71,medium_71_2.0,0.38783139798662175,4.213588981198929,0.9471845750708753,-13.553575215603441
46,medium,-19.34403726777309,2.0,83,medium_83_2.0,0.25862905179830376,2.809871837433984,1.3523604763468215,-19.53358150537313
47,medium,-35.7055636950869,2.0,91,medium_91_2.0,0.1228824478435731,1.3350546936230583,2.096527089179193,-36.35859915483424
48,medium,-2.6921797486384924,3.0,0,medium_0_3.0,1.0,10.923072539761101,0.0,-2.6958101818543803
49,medium,-4.9380731474848485,3.0,33,medium_33_3.0,0.7899578566187491,8.628766971200795,0.2357756809962375,-4.950305717522107
50,medium,-9.330974553326731,3.0,54,medium_54_3.0,0.6254742323274188,6.8321004114637836,0.4692451452435957,-9.374780812733121
51,medium,-13.85054185313748,3.0,71,medium_71_3.0,0.4034189720492167,4.40657469560945,0.9077796242029789,-13.947355595978436
52,medium,-21.543353948489326,3.0,83,medium_83_3.0,0.23566868329633703,2.5742261229958747,1.4453283446629719,-21.77879966664931
53,medium,-33.54845527278782,3.0,91,medium_91_3.0,0.12668678838592967,1.383808979368874,2.0660374718676504,-34.12411637873423
