Identifier,Time_h,Replicate,Timepoint,Peak_Nr,Width,Area_All,Ampl_64,Area_64,Area_66,Ampl_66,d34S,Type,Date,Compound
AGS-2,,,,4,53.5,30.182,1500,28.804,1.379,7177,-0.106,standard,20221114,
AGS-2,,,,5,55.3,30.401,1503,29.013,1.389,7196,0.004,standard,20221114,
AGS-2,,,,1,54.9,29.216,1455,27.88,1.336,6976,0,standard,20221221,
AGS-2,,,,2,58.5,29.37,1459,28.027,1.344,6992,0.104,standard,20221221,
AGS-2,,,,3,158.1,48.983,1437,46.739,2.244,6891,1.706,standard,20221221,
AGS-2,,,,4,56,29.046,1450,27.718,1.328,6947,-0.154,standard,20221221,
AGS-2,,,,5,56.9,29.244,1450,27.906,1.338,6952,0.009,standard,20221221,
AGS-2,,,,1,56.5,28.844,1436,27.525,1.319,6886,0,standard,20221221,
AGS-2,,,,2,58.5,28.981,1439,27.656,1.326,6899,0.122,standard,20221221,
AGS-2,,,,3,102.1,21.084,784,20.119,0.965,3758,1.155,standard,20221221,
AGS-2,,,,4,55.4,28.603,1430,27.295,1.308,6851,-0.213,standard,20221221,
AGS-2,,,,5,55.6,28.893,1434,27.571,1.322,6874,-0.047,standard,20221221,
AGS-2,,,,1,56,29.631,1476,28.276,1.355,7076,0,standard,20221221,
AGS-2,,,,2,56.8,29.721,1475,28.361,1.36,7071,0.141,standard,20221221,
AGS-2,,,,3,128.9,41.016,1427,39.138,1.878,6843,1.243,standard,20221221,
AGS-2,,,,4,55.8,29.195,1454,27.86,1.336,6970,0.043,standard,20221221,
AGS-2,,,,5,54.3,29.383,1457,28.039,1.344,6988,0.257,standard,20221221,
AGS-2,,,,1,57.4,29.112,1449,27.78,1.332,6946,0,standard,20221221,
AGS-2,,,,2,56.5,29.238,1452,27.9,1.338,6962,0.087,standard,20221221,
AGS-2,,,,3,127.1,49.997,1754,47.706,2.291,8414,1.515,standard,20221221,
AGS-2,,,,4,54.6,29.131,1449,27.798,1.333,6949,-0.15,standard,20221221,
AGS-2,,,,5,53.4,29.339,1456,27.996,1.342,6980,0.057,standard,20221221,
AGS-2,,,,1,55.1,29.722,1479,28.362,1.36,7092,0,standard,20221221,
AGS-2,,,,2,55.5,29.852,1479,28.486,1.366,7091,0.069,standard,20221221,
AGS-2,,,,3,119.6,29.694,1063,28.335,1.359,5094,0.717,standard,20221221,
AGS-2,,,,4,54.2,29.353,1463,28.01,1.342,7012,-0.192,standard,20221221,
AGS-2,,,,5,55.1,29.626,1469,28.271,1.355,7044,-0.016,standard,20221221,
AGS-2,,,,1,53.8,29.342,1462,28,1.342,7005,0,standard,20221221,
AGS-2,,,,2,56.3,29.455,1463,28.108,1.347,7012,0.024,standard,20221221,
AGS-2,,,,3,134.9,39.07,1430,37.281,1.789,6856,1.459,standard,20221221,
AGS-2,,,,4,54.7,29.037,1448,27.71,1.327,6936,-0.191,standard,20221221,
AGS-2,,,,5,55.5,29.275,1451,27.937,1.339,6953,-0.016,standard,20221221,
AGS-2,,,,1,54.5,27.318,1363,26.069,1.249,6528,0,standard,20221221,
AGS-2,,,,2,55.1,27.495,1367,26.238,1.257,6549,0.147,standard,20221221,
AGS-2,,,,3,121.5,21.801,751,20.804,0.997,3595,0.77,standard,20221221,
AGS-2,,,,4,53.3,27.625,1382,26.363,1.263,6621,-0.108,standard,20221221,
AGS-2,,,,5,55.8,28.015,1391,26.734,1.281,6662,0.151,standard,20221221,
b,0,1,0,1,52.7,28.809,1436,27.491,1.318,6882,0,sample,20221221,Sulfide
b,0,1,0,2,54.4,29.014,1443,27.686,1.328,6920,0.135,sample,20221221,Sulfide
b,0,1,0,3,150.9,34.012,1061,32.462,1.55,5061,-2.124,sample,20221221,Sulfide
b,0,1,0,4,56.3,29.082,1448,27.752,1.33,6943,-0.173,sample,20221221,Sulfide
b,0,1,0,5,56.2,29.307,1454,27.967,1.341,6970,-0.008,sample,20221221,Sulfide
b,28,1,3,1,53.7,29.201,1454,27.866,1.335,6964,0,sample,20221221,Sulfide
b,28,1,3,2,56.6,29.329,1456,27.988,1.341,6976,0.029,sample,20221221,Sulfide
b,28,1,3,3,85.6,9.867,373,9.416,0.45,1781,-2.893,sample,20221221,Sulfide
b,28,1,3,4,55,28.855,1441,27.536,1.319,6901,-0.261,sample,20221221,Sulfide
b,28,1,3,5,53.6,29.094,1443,27.764,1.33,6915,-0.098,sample,20221221,Sulfide
b,43.5,1,4,1,54.7,28.918,1439,27.595,1.323,6899,0,sample,20221221,Sulfide
b,43.5,1,4,2,54.9,28.766,1420,27.45,1.316,6808,0.058,sample,20221221,Sulfide
b,43.5,1,4,3,121.5,20.546,744,19.608,0.939,3559,-2.689,sample,20221221,Sulfide
b,43.5,1,4,4,54.3,27.007,1350,25.772,1.235,6469,-0.266,sample,20221221,Sulfide
b,43.5,1,4,5,53.1,27.312,1360,26.062,1.249,6518,-0.037,sample,20221221,Sulfide
b,70.5,1,5,1,54.3,28.592,1425,27.284,1.308,6833,0,sample,20221221,Sulfide
b,70.5,1,5,2,54.7,28.807,1431,27.489,1.318,6862,0.029,sample,20221221,Sulfide
b,70.5,1,5,3,90.3,8.961,339,8.553,0.408,1614,-5.379,sample,20221221,Sulfide
b,70.5,1,5,4,54.3,28.396,1423,27.097,1.299,6823,-0.328,sample,20221221,Sulfide
b,70.5,1,5,5,54.8,28.953,1439,27.628,1.325,6898,-0.137,sample,20221221,Sulfide
b,121.5,2,8,1,55.4,27.225,1361,25.98,1.245,6520,0,sample,20221221,Sulfate
