,absorbance,type,hyp_conc,treatment,well,replicate,time_h,stdcurve_group,abs_corr,concentration,avg_conc,ID,max_conc,f_R
120,0.7559999999999999,sample,,medium,1,2.0,71.0,b,0.7096666666666666,4.085608981116162,4.213588981198929,medium_71_2.0,10.86448648323279,0.38783139798662175
123,0.759,sample,,medium,1,3.0,71.0,b,0.7126666666666667,4.103891838270844,4.40657469560945,medium_71_3.0,10.923072539761101,0.4034189720492167
126,1.2690000000000001,sample,,lower,1,1.0,71.0,b,1.2226666666666668,7.211977554566598,7.000708983001395,lower_71_1.0,10.072228984987786,0.6950506182331283
129,1.271,sample,,lower,1,2.0,71.0,b,1.2246666666666666,7.22416612600305,7.014928983010591,lower_71_2.0,10.794561189957065,0.6498577255309896
132,1.268,sample,,lower,1,3.0,71.0,b,1.2216666666666667,7.20588326884837,7.098217554493026,lower_71_3.0,11.004337069784242,0.645038179899391
135,1.8730000000000002,sample,,Control,1,1.0,83.0,b,1.8266666666666669,10.892926128375686,10.437886128081407,Control_83_1.0,10.437886128081407,1.0
138,0.17300000000000001,sample,,high,1,1.0,83.0,b,0.12666666666666668,0.5326404073898411,0.5854575502811413,high_83_1.0,10.560216963843821,0.0554399168393639
141,0.187,sample,,high,1,2.0,83.0,b,0.14066666666666666,0.6179604074450185,0.5915518359993683,high_83_2.0,10.690618186439094,0.055333735213717004
144,0.16,sample,,high,1,3.0,83.0,b,0.11366666666666667,0.4534146930528904,0.5001375502259638,high_83_3.0,10.768102970879765,0.04644620798839762
147,1.767,sample,,Control,1,1.0,91.0,b,1.7206666666666666,10.246931842243626,10.070197556415044,Control_91_1.0,10.437886128081407,0.9647736555894054
150,0.491,sample,,medium,1,1.0,83.0,b,0.44466666666666665,2.470623265786016,2.5803204087141016,medium_83_1.0,9.490548964004336,0.2718831564433961
153,0.521,sample,,medium,1,2.0,83.0,b,0.4746666666666667,2.6534518373328253,2.809871837433984,medium_83_2.0,10.86448648323279,0.25862905179830376
156,0.515,sample,,medium,1,3.0,83.0,b,0.4686666666666667,2.6168861230234635,2.5742261229958747,medium_83_3.0,10.923072539761101,0.23566868329633703
159,0.981,sample,,lower,1,1.0,83.0,b,0.9346666666666666,5.456823267717231,4.892086124494864,lower_83_1.0,10.072228984987786,0.4857004474169822
162,1.058,sample,,lower,1,2.0,83.0,b,1.0116666666666667,5.926083268020707,6.200326125340919,lower_83_2.0,10.794561189957065,0.57439353172684
165,1.061,sample,,lower,1,3.0,83.0,b,1.0146666666666666,5.944366125175388,6.387217554033214,lower_83_3.0,11.004337069784242,0.5804272909425198
168,0.121,sample,,high,1,1.0,91.0,b,0.07466666666666666,0.21573755004203868,0.20151755003284244,high_91_1.0,10.560216963843821,0.0190827092589859
171,0.272,sample,,medium,1,1.0,91.0,b,0.22566666666666668,1.135974693494311,1.1380061220670532,medium_91_1.0,9.490548964004336,0.11990940949604412
174,0.523,sample,,lower,1,1.0,91.0,b,0.4766666666666667,2.6656404087692795,2.9358204089440085,lower_91_1.0,10.072228984987786,0.2914767340297485
177,0.47700000000000004,sample,,lower,1,2.0,91.0,b,0.4306666666666667,2.385303265730839,2.2918575513846924,lower_91_2.0,10.794561189957065,0.21231595347451157
180,0.563,sample,,lower,1,3.0,91.0,b,0.5166666666666666,2.9094118374983577,2.9134746946438423,lower_91_3.0,11.004337069784242,0.264756947753234
183,0.099,sample,,high,1,2.0,91.0,b,0.05266666666666667,0.08166326424104545,0.13244897855960355,high_91_2.0,10.690618186439094,0.012389272187048389
186,0.10099999999999999,sample,,high,1,3.0,91.0,b,0.054666666666666655,0.0938518356774993,0.10807183568669561,high_91_3.0,10.768102970879765,0.010036292927264424
189,0.293,sample,,medium,1,2.0,91.0,b,0.24666666666666665,1.263954693577077,1.3350546936230583,medium_91_2.0,10.86448648323279,0.1228824478435731
192,0.27699999999999997,sample,,medium,1,3.0,91.0,b,0.23066666666666663,1.1664461220854454,1.383808979368874,medium_91_3.0,10.923072539761101,0.12668678838592967
195,1.085,sample,,high,1,1.0,54.5,b,1.0386666666666666,6.090628982412835,5.664028982136948,high_54_1.0,10.560216963843821,0.5363553610242582
198,0.948,sample,,high,1,2.0,54.5,b,0.9016666666666666,5.25571183901574,5.416194696262384,high_54_2.0,10.690618186439094,0.5066306364895488
201,0.9309999999999999,sample,,high,1,3.0,54.5,b,0.8846666666666666,5.152108981805882,5.29024612475236,high_54_3.0,10.768102970879765,0.49128858992700936
204,1.286,sample,,medium,1,1.0,54.5,b,1.2396666666666667,7.315580411776455,7.116500411647707,medium_54_1.0,9.490548964004336,0.7498512929693637
207,1.197,sample,,medium,1,2.0,54.5,b,1.1506666666666667,6.773188982854256,6.761000411417801,medium_54_2.0,10.86448648323279,0.6223028048175202
210,1.253,sample,,medium,1,3.0,54.5,b,1.2066666666666666,7.114468983074965,6.8321004114637836,medium_54_3.0,10.923072539761101,0.6254742323274188
213,1.7369999999999999,sample,,lower,1,1.0,54.5,b,1.6906666666666665,10.064103270696817,10.072228984987786,lower_54_1.0,10.072228984987786,1.0
216,1.52,sample,,lower,1,2.0,54.5,b,1.4736666666666667,8.741643269841566,9.239343270163436,lower_54_2.0,10.794561189957065,0.8559257859188796
219,1.379,sample,,lower,1,3.0,54.5,b,1.3326666666666667,7.882348983571564,8.520217555412652,lower_54_3.0,11.004337069784242,0.7742599578131338
