,Identifier,Time_h,Replicate,Peak_Nr,Area_All,Area_64,Area_66,Ampl_64,Ampl_66,d34S,Type,Date,Correction_of_area_blank,Correction_of_d34S_blank,Correction_of_d34S_by_amplitude,Std_group,Correction_of_d34S_by_true_value
212,d,31.5,3.0,3,53.349,50.92100000000001,2.4290000000000003,1692,8054,-4.6160000000000005,sample,20210331,51.13476923076923,-5.068038140076762,-4.776613939741052,high,-4.297678497330694
217,d,40.5,1.0,3,34.327,32.762,1.565,1171,5583,-5.1370000000000005,sample,20210331,32.11276923076923,-5.892726796175755,-5.46786000289468,low,-5.475931603068361
222,d,40.5,2.0,3,33.584,32.059,1.524,1072,5085,-5.252999999999999,sample,20210331,31.369769230769233,-6.034814198118982,-5.584590750900111,low,-5.599666195954118
227,d,40.5,3.0,3,43.79600000000001,41.806999999999995,1.989,1348,6401,-5.117,sample,20210331,41.58176923076924,-5.699567698292904,-5.320035528718796,low,-5.319237660441924
232,d,51.5,3.0,3,27.698,26.436999999999998,1.26,855,4067,-5.909,sample,20210331,25.48376923076923,-6.928388698967693,-6.4225855153397164,low,-6.4879406462601
237,c,10.0,1.0,3,35.243,33.638000000000005,1.6059999999999999,1129,5376,-2.291,sample,20210331,33.028769230769235,-2.8349736283340574,-2.399349466715736,low,-2.2233104347186803
242,c,10.0,2.0,3,50.093999999999994,47.812,2.282,1490,7099,-2.546,sample,20210331,47.87976923076923,-2.9330404678582855,-2.589878448376772,high,-2.0234735863118427
247,c,10.0,3.0,3,64.546,61.613,2.9330000000000003,2133,10134,-2.884,sample,20210331,62.33176923076924,-3.193309658974134,-3.0148378261795106,high,-2.4654313392266913
272,c,22.0,1.0,3,98.609,94.12799999999999,4.481,2964,14087,-2.617,sample,20210331,96.39476923076923,-2.810875858802032,-2.8452462423943534,high,-2.289056092090128
277,c,22.0,2.0,3,85.03200000000001,81.16,3.872,2540,12093,-2.8819999999999997,sample,20210331,82.81776923076924,-3.114744615093108,-3.040516804042752,high,-2.4921374762044626
282,c,22.0,3.0,3,106.65100000000001,101.818,4.833,3252,15415,-2.373,sample,20210331,104.43676923076924,-2.546773532967543,-2.654908728015268,high,-2.091105077135879
287,c,34.0,1.0,3,123.456,117.86,5.596,3790,17966,-2.197,sample,20210331,121.24176923076924,-2.3434729676763517,-2.589404928567851,high,-2.022981125710565
292,c,34.0,2.0,3,115.17,109.926,5.244,3551,16910,-3.002,sample,20210331,112.95576923076923,-3.17499778176775,-3.3597151942639663,high,-2.824103802034525
297,c,34.0,3.0,3,112.26700000000001,107.155,5.112,3407,16223,-3.055,sample,20210331,110.05276923076924,-3.233627506449569,-3.381462513218084,high,-2.8467210137468077
302,c,103.5,1.0,3,103.648,98.929,4.718999999999999,3225,15355,-3.082,sample,20210331,101.43376923076923,-3.2763951814653653,-3.377614925439146,high,-2.8427195224567123
307,c,103.5,2.0,3,98.45299999999999,93.98,4.473,3124,14842,-2.8139999999999996,sample,20210331,96.23876923076922,-3.012722638319682,-3.088073472720561,high,-2.5415964116293837
312,c,103.5,3.0,3,100.37799999999999,95.807,4.57,3413,16251,-2.971,sample,20210331,98.16376923076922,-3.1693670402383365,-3.318738813912172,high,-2.781488366468659
317,c,0.0,1.0,3,84.365,80.543,3.821,2658,12589,-2.7,sample,20210331,82.15076923076923,-2.9297288266342445,-2.8857240980551997,high,-2.3311530619774077
342,b_march22,0.0,7.0,3,41.827,39.925,1.903,1377,6547,-2.693,sample,20210330,39.61276923076923,-3.1690308499829265,-2.796926387117869,low,-2.6447419703449415
