,Identifier,Time_h,Replicate,Timepoint,Peak_Nr,Width,Area_All,Ampl_64,Area_64,Area_66,Ampl_66,d34S,Type,Date,Compound,Correction_of_d34S_blank,Correction_of_d34S_by_amplitude,Std_group,Correction_of_d34S_by_true_value
287,e,583.5,2.0,21.0,3,140.7,29.609,937,28.255,1.353,4485,-1.998,sample,20221114,Sulfate,-2.510499391276587,-2.302491362256087,high,-2.492491362256087
292,full,0.0,1.0,0.0,3,125.7,23.129,849,22.075,1.055,4054,-2.003,sample,20221221,Sulfide,-1.9388195630051661,-1.6482121209054275,high,-1.8382121209054274
297,full,7.0,1.0,1.0,3,119.3,14.197,429,13.549,0.648,2049,-2.042,sample,20221114,Sulfide,-3.286060757321686,-3.078000867704161,low,-2.863320815641911
302,full,18.0,1.0,2.0,3,120.6,18.472,658,17.629,0.843,3144,-2.14,sample,20221114,Sulfide,-3.0562450633574785,-2.8482085518437303,low,-2.6473160387331065
307,full,18.0,1.0,2.0,3,129.5,32.366,1144,30.889,1.477,5470,-2.105,sample,20221221,Sulfide,-2.0753509994434145,-1.7847912389574898,high,-1.9747912389574898
312,full,43.5,1.0,4.0,3,135.8,15.332,470,14.634,0.699,2241,-3.483,sample,20221114,Sulfide,-4.991763578952329,-4.78370787493417,low,-4.466685402438119
317,full,70.5,1.0,5.0,3,136.9,22.945,647,21.902,1.043,3077,-4.011,sample,20221114,Sulfide,-5.023618246299714,-4.815580611820282,high,-5.005580611820283
322,full,70.5,2.0,5.0,3,93.2,15.372,580,14.67,0.702,2774,-4.126,sample,20221221,Sulfide,-4.726515597722961,-4.4358646764567276,low,-4.139712795869324
327,full,387.5,2.0,16.0,3,141.3,43.78,1453,41.784,1.996,6934,-2.575,sample,20221114,Sulfate,-2.954107073694588,-2.7461517219734284,high,-2.9361517219734283
332,full,529.0,2.0,20.0,3,115.0,15.296,500,14.599,0.698,2387,-2.795,sample,20221221,Sulfate,-2.9527542377506357,-2.6620903858772667,low,-2.472364962724631
512,a,91.0,1.0,6.0,3,180.1,122.167,3915,116.627,5.539,18578,-0.552,sample,20221114,Sulfate,-0.6267597328750755,-0.41905572129146684,high,-0.6090557212914669
517,a,91.0,2.0,6.0,3,120.1,21.197,748,20.236,0.961,3549,-0.678,sample,20221114,Sulfate,-1.1948193982323372,-0.9867920746196369,low,-0.8975845501424586
522,a,121.5,1.0,8.0,3,170.1,63.421,2077,60.545,2.876,9859,-0.713,sample,20221114,Sulfate,-0.869272286635492,-0.6613806376949304,high,-0.8513806376949304
527,a,121.5,2.0,8.0,3,161.5,32.06,976,30.606,1.453,4631,-0.811,sample,20221114,Sulfate,-1.148022330049017,-0.9400182824523045,high,-1.1300182824523044
532,a,144.5,1.0,9.0,3,180.1,31.452,841,30.025,1.428,3994,-0.812,sample,20221114,Sulfate,-1.156390634957565,-0.9483728055092808,high,-1.1383728055092808
537,a,144.5,2.0,9.0,3,175.0,47.915,1325,45.743,2.172,6286,-0.948,sample,20221114,Sulfate,-1.1753299675672222,-0.967361548609017,high,-1.157361548609017
542,a,210.5,1.0,12.0,3,180.1,66.739,1805,63.712,3.026,8567,-1.252,sample,20221114,Sulfate,-1.427320030670777,-1.2194006138514932,high,-1.4094006138514932
547,a,210.5,2.0,12.0,3,117.9,15.376,472,14.678,0.698,2239,-0.115,sample,20221114,Sulfate,-0.7306605855697212,-0.5226050857271413,low,-0.4612487805835127
552,a,529.0,2.0,20.0,3,140.3,45.366,1570,43.308,2.058,7454,-1.878,sample,20221221,Sulfate,-1.8366193595583074,-1.5461284545553817,high,-1.7361284545553817
557,a,529.0,1.0,20.0,3,162.1,31.954,977,30.498,1.456,4662,-2.953,sample,20221114,Sulfate,-3.5302372632039276,-3.3222333176950043,high,-3.5122333176950042
