ID,Replicate,Timepoint,Time_h,well,Compound,Conc_uM
e,2,8,121.5,3,Sulfide,1.742113838
e,2,9,144.5,1,Sulfide,1.278734967
e,2,9,144.5,2,Sulfide,1.395984555
e,2,9,144.5,3,Sulfide,1.270191547
e,2,10,170.5,1,Sulfate,0
e,2,10,170.5,1,Sulfide,1.032941552
e,2,10,170.5,2,Sulfide,1.079684617
e,2,10,170.5,3,Sulfide,1.126099033
e,2,11,192.5,1,Sulfide,1.116688223
e,2,12,210.5,1,Sulfide,0.924375796
e,2,12,210.5,2,Sulfide,0.915956013
e,2,13,236.5,1,Sulfate,0
e,2,13,236.5,1,Sulfide,0.820793922
e,2,13,236.5,2,Sulfide,0.869094496
e,2,14,309,1,Sulfide,0.542391045
e,2,14,309,2,Sulfide,0.548095595
e,2,15,354.5,1,Sulfate,810.6981157
e,2,15,354.5,1,Sulfide,0.057200066
e,2,15,354.5,2,Sulfide,0.062903181
e,2,16,387.5,1,Sulfate,923.2217962
e,2,17,410.5,1,Sulfate,997.2707019
e,2,18,433.5,1,Sulfate,1031.389199
e,2,19,511.5,1,Sulfate,1102.715091
e,2,21,583.5,1,Sulfate,1081.077931
full,1,0,0,1,Sulfide,3.811159375
full,1,0,0,2,Sulfide,3.818556676
full,1,0,0,3,Sulfide,3.915982391
full,1,1,7,1,Sulfide,3.34608293
full,1,1,7,2,Sulfide,2.713927378
full,1,1,7,3,Sulfide,3.181187951
full,1,2,18,1,Sulfide,2.038063068
full,1,3,28,1,Sulfide,1.792967967
full,1,3,28,2,Sulfide,1.648585174
full,1,4,43.5,1,Sulfate,0
full,1,4,43.5,1,Sulfide,1.139389047
full,1,4,43.5,2,Sulfide,1.079684617
full,1,5,70.5,1,Sulfate,0
full,1,5,70.5,1,Sulfide,0.281482422
full,1,5,70.5,2,Sulfide,0.288595977
full,1,6,91,1,Sulfate,0
full,1,6,91,1,Sulfide,0.068581283
full,1,6,91,2,Sulfide,0.062903181
full,1,6,91,3,Sulfide,0.045718266
full,1,7,101.5,1,Sulfate,0
full,1,8,121.5,1,Sulfate,9.165481277
full,1,9,144.5,1,Sulfate,19.79329181
full,1,12,210.5,1,Sulfate,17.07249139
full,2,0,0,1,Sulfide,3.969420351
full,2,0,0,2,Sulfide,4.838713856
full,2,0,0,3,Sulfide,4.551510498
full,2,1,7,1,Sulfide,3.138218025
full,2,5,70.5,1,Sulfate,0
full,2,5,70.5,1,Sulfide,0.279101535
full,2,5,70.5,2,Sulfide,0.271929537
full,2,6,91,1,Sulfate,121.2876462
