,Identifier,Time_h,Replicate,Peak_Nr,Area_All,Ampl_64,Area_64,Area_66,Ampl_66,d34S,Type,Measurement,Date,Correction_of_area_blank,Correction_of_d34S_blank,Correction_of_d34S_by_amplitude,Std_group,Correction_of_d34S_by_true_value
582,medium,71.0,1.0,3,34.964,1363,33.379,1.585,6466,-13.994000000000002,sample,sulfide,20220218,32.0786,-15.24747078363769,-14.88035664780232,high,-14.705570913714412
587,medium,83.0,1.0,3,27.886999999999997,1009,26.625999999999998,1.261,4774,-21.476999999999997,sample,sulfide,20220218,25.001599999999996,-23.94888324267247,-23.51480180829737,low,-22.394505772131424
592,medium,91.0,1.0,3,25.813000000000002,939,24.644000000000002,1.168,4446,-30.756,sample,sulfide,20220218,22.9276,-34.61923307629233,-34.17190952073706,low,-32.83847133032232
597,medium,0.0,2.0,3,31.665,1158,30.226999999999997,1.4369999999999998,5499,-3.286,sample,sulfide,20220218,28.7796,-3.6095877037901842,-3.20369307021288,high,-2.5618407930213953
602,medium,33.5,2.0,3,47.167,1685,45.023999999999994,2.142,8006,-5.2860000000000005,sample,sulfide,20220218,44.281600000000005,-5.626627363961555,-5.320426985554979,high,-4.7632440649771794
607,medium,54.5,2.0,3,29.59,1049,28.245,1.344,4987,-8.847999999999999,sample,sulfide,20220218,26.7046,-9.797698534334906,-9.371184026348475,low,-8.533760345821506
612,medium,71.0,2.0,3,34.192,1259,32.644,1.548,5963,-12.889000000000001,sample,sulfide,20220218,31.3066,-14.0715372566807,-13.684749112234789,high,-13.462139076724181
617,medium,83.0,2.0,3,24.228,875,23.135,1.094,4132,-18.384,sample,sulfide,20220218,21.3426,-20.861509482443562,-20.402078844666416,low,-19.34403726777309
622,medium,91.0,2.0,3,19.410999999999998,688,18.534000000000002,0.877,3250,-32.013000000000005,sample,sulfide,20220218,16.525599999999997,-37.592319993222645,-37.09751397457847,low,-35.7055636950869
647,medium,0.0,3.0,3,30.035,1133,28.665,1.37,5408,-3.386,sample,sulfide,20220218,27.1496,-3.7396429516456964,-3.3290189890754736,high,-2.6921797486384924
652,medium,33.5,3.0,3,41.966,1562,40.055,1.911,7442,-5.422000000000001,sample,sulfide,20220218,39.080600000000004,-5.818000549633322,-5.488531872581585,high,-4.9380731474848485
