Identifier,Time_h,Replicate,Peak_Nr,Area_All,Area_64,Area_66,Ampl_64,Ampl_66,d34S,Type
AGS_2,,,1,24.083,22.982,1.101,1195,5722,0,standard
AGS_2,,,2,24.132,23.029,1.103,1196,5728,0.023,standard
AGS_2,,,3,22.891,21.842,1.048,992,4756,1.95,standard
AGS_2,,,4,23.899,22.807,1.092,1191,5708,-0.231,standard
AGS_2,,,5,24.109,23.007,1.102,1195,5724,-0.088,standard
AGS_26,,,1,24.049,22.951,1.098,1195,5718,0,standard
AGS_26,,,2,24.121,23.02,1.101,1195,5715,0.01,standard
AGS_26,,,3,34.295,32.696,1.599,1479,7229,24.588,standard
AGS_26,,,4,23.959,22.866,1.094,1192,5701,0.021,standard
AGS_26,,,5,24.121,23.02,1.101,1195,5715,0.13,standard
AGS_26,,,1,24.073,22.973,1.1,1195,5723,0,standard
AGS_26,,,2,24.159,23.055,1.104,1197,5731,0.035,standard
AGS_26,,,3,42.695,40.701,1.994,1846,9043,25.278,standard
AGS_26,,,4,24.002,22.905,1.097,1194,5719,-0.026,standard
AGS_26,,,5,24.152,23.048,1.104,1197,5731,0.051,standard
